name,price
Thunderhide Pack,1.86
Satyr Duelist,1.75
Arm the Rebellion,1.75
Arm the Rebellion,1.75
Arm the Rebellion,1.75
Satyr Duelist,1.75
Satyr Duelist,1.75
Avernus' Blessing,1.85
Avernus' Blessing,1.85
Avernus' Blessing,1.85
Avernus' Blessing,1.85
Tower Barrage,1.85
Tower Barrage,1.85
Tower Barrage,1.85
Dimensional Portal,1.75
Dimensional Portal,1.75
Arm the Rebellion,1.75
Arm the Rebellion,1.75
Annihilation,403.39
Annihilation,403.39
Mercenary Exiles,99.31
Time of Triumph,251.71
Time of Triumph,251.71
Mercenary Exiles,98.71
Unsupervised Artillery,1.69
Unsupervised Artillery,1.69
Keenfolk Musket,1.85
Keenfolk Musket,1.85
Grazing Shot,1.67
Grazing Shot,1.67
Grazing Shot,1.67
Grazing Shot,1.67
Grazing Shot,1.67
Grazing Shot,1.67
Lodestone Demolition,1.95
Lodestone Demolition,1.95
Relentless Zombie,1.68
Relentless Zombie,1.68
Relentless Zombie,1.68
Relentless Zombie,1.68
Relentless Zombie,1.68
Relentless Zombie,1.68
Relentless Zombie,1.68
Relentless Zombie,1.68
Relentless Zombie,1.68
Bellow,1.68
Relentless Zombie,1.68
Bellow,1.68
Bellow,1.68
Disciple of Nevermore,1.68
Bellow,1.68
Disciple of Nevermore,1.68
Disciple of Nevermore,1.68
Disciple of Nevermore,1.68
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Oglodi Vandal,1.75
Selfish Cleric,1.68
Selfish Cleric,1.68
Selfish Cleric,1.68
Selfish Cleric,1.68
Selfish Cleric,1.68
Selfish Cleric,1.68
Selfish Cleric,1.68
Selfish Cleric,1.68
Stonehall Cloak,1.68
Stonehall Cloak,1.68
Arcane Censure,1.67
Arcane Censure,1.67
Sven,1.66
Sven,1.66
Lion,1.66
Lion,1.66
Poised to Strike,1.66
Poised to Strike,1.66
Poised to Strike,1.66
Poised to Strike,1.66
Poised to Strike,1.66
Poised to Strike,1.66
Poised to Strike,1.66
Poised to Strike,1.66
Oglodi Catapult,1.66
Oglodi Catapult,1.66
Better Late Than Never,1.75
Better Late Than Never,1.75
Slay,1.66
Slay,1.66
Rumusque Blessing,1.66
Rumusque Blessing,1.66
Rumusque Blessing,1.66
Clear the Deck,1.66
Rumusque Blessing,1.66
Clear the Deck,1.66
Clear the Deck,1.66
Clear the Deck,1.66
Clear the Deck,1.66
Clear the Deck,1.66
Clear the Deck,1.66
Clear the Deck,1.66
Clear the Deck,1.66
Clear the Deck,1.66
Arm the Rebellion,1.75
Arm the Rebellion,1.75
Arm the Rebellion,1.75
Arm the Rebellion,1.75
Arm the Rebellion,1.75
Satyr Duelist,1.75
Satyr Duelist,1.75
Intimidation,1.66
Satyr Duelist,1.75
Intimidation,1.66
Intimidation,1.66
Intimidation,1.66
Intimidation,1.66
Stonehall Plate,1.66
Intimidation,1.66
Stonehall Plate,1.66
Barbed Mail,1.64
Barbed Mail,1.64
Barbed Mail,1.64
Barbed Mail,1.64
Barbed Mail,1.64
Barbed Mail,1.64
Rumusque Vestments,1.64
Rumusque Vestments,1.64
Rumusque Vestments,1.64
Rumusque Vestments,1.64
Ventriloquy,1.68
Cheating Death,88.49
Cheating Death,88.49
Keenfolk Turret,1.74
Keenfolk Turret,1.74
Cheating Death,88.19
Cheating Death,88.74
Cheating Death,88.19
Cheating Death,88.19
Meepo,32.66
Blink Dagger,72.35
Blink Dagger,72.35
Storm Spirit,41.14
Storm Spirit,41.14
Ventriloquy,1.68
Ventriloquy,1.68
Ventriloquy,1.68
Meepo,32.63
Pugna,26.24
Pugna,26.24
Self Sabotage,1.72
Self Sabotage,1.72
Claszureme Hourglass,14.51
Claszureme Hourglass,14.51
Legion Commander,14.18
Legion Commander,14.18
Thunderhide Alpha,12.05
Thunderhide Alpha,12.05
Revtel Signet Ring,6.88
Revtel Signet Ring,6.88
Remote Detonation,6.28
Remote Detonation,6.28
Glyph of Confusion,5.93
Glyph of Confusion,5.93
Luna,4.52
Luna,4.52
Rebel Decoy,1.75
Rebel Decoy,1.75
Rebel Decoy,1.75
Rebel Decoy,1.75
Sucker Punch,1.75
Sucker Punch,1.75
Sucker Punch,1.75
Sucker Punch,1.75
Sucker Punch,1.75
Sucker Punch,1.75
Stars Align,4.48
Stars Align,4.48
Demagicking Maul,4.01
Demagicking Maul,4.01
Curse of Atrophy,3.82
Curse of Atrophy,3.82
Dimensional Portal,1.75
Dimensional Portal,1.75
Call the Reserves,1.74
Call the Reserves,1.74
Sniper,3.46
Sniper,3.46
Defensive Bloom,1.68
Defensive Bloom,1.68
Foresight,1.75
Foresight,1.75
Foresight,1.75
Foresight,1.75
Ursa,1.87
Ursa,1.87
Collateral Damage,1.68
Collateral Damage,1.68
Assassin's Veil,1.73
Assassin's Veil,1.73
Cunning Plan,1.74
Cunning Plan,1.74
Compel,1.87
Compel,1.87
Juke,1.68
Juke,1.68
Crippling Blow,1.67
Crippling Blow,1.67
Crippling Blow,1.67
Crippling Blow,1.67
Crippling Blow,1.67
Crippling Blow,1.67
Ogre Conscript,1.75
Ogre Conscript,1.75
Ogre Conscript,1.75
Ogre Conscript,1.75
Ogre Conscript,1.75
Ogre Conscript,1.75
Ogre Conscript,1.75
Ogre Conscript,1.75
Thunderstorm,1.75
Untested Grunt,1.75
Thunderstorm,1.75
Hellbear Crippler,1.75
Vhoul Martyr,1.86
Hellbear Crippler,1.75
Hellbear Crippler,1.75
Hellbear Crippler,1.75
Hellbear Crippler,1.75
Hellbear Crippler,1.75
Hellbear Crippler,1.75
Hellbear Crippler,1.75
Troll Soothsayer,1.75
Troll Soothsayer,1.75
Avernus' Blessing,1.85
Avernus' Blessing,1.85
Avernus' Blessing,1.85
Avernus' Blessing,1.85
Avernus' Blessing,1.85
Avernus' Blessing,1.85
Shield of Basilius,1.85
Shield of Basilius,1.85
Thunderhide Pack,1.86
Book of the Dead,1.85
Book of the Dead,1.85
Diabolic Revelation,1.83
Diabolic Revelation,1.83
The Omexe Arena,1.82
The Omexe Arena,1.82
The Omexe Arena,1.82
The Omexe Arena,1.82
Blade of the Vigil,1.75
Blade of the Vigil,1.75
Blade of the Vigil,1.75
Blade of the Vigil,1.75
Blade of the Vigil,1.75
Blade of the Vigil,1.75
Broadsword,1.75
Broadsword,1.75
Necrophos,1.7
Necrophos,1.7
Ring of Tarrasque,1.8
Ring of Tarrasque,1.8
Ring of Tarrasque,1.8
Ring of Tarrasque,1.8
Buying Time,1.78
Buying Time,1.78
Buying Time,1.78
Buying Time,1.78
Vhoul Martyr,1.86
Lycan,1.75
Tower Barrage,1.81
Lycan,1.75
Magnus,1.75
Magnus,1.75
Magnus,1.75
Magnus,1.75
Fur-lined Mantle,1.75
Fur-lined Mantle,1.75
Divine Intervention,1.74
Divine Intervention,1.74
Messenger Rookery,1.75
Messenger Rookery,1.75
Messenger Rookery,1.75
Messenger Rookery,1.75
Bronze Legionnaire,1.75
Bronze Legionnaire,1.75
Bronze Legionnaire,1.75
Bronze Legionnaire,1.75
Bronze Legionnaire,1.75
Bronze Legionnaire,1.75
Defensive Stance,1.75
Defensive Stance,1.75
Defensive Stance,1.75
Defensive Stance,1.75
Red Mist Maul,1.75
Red Mist Maul,1.75
Red Mist Maul,1.75
Red Mist Maul,1.75
Claymore,1.75
Claymore,1.75
Claymore,1.75
Claymore,1.75
New Orders,1.68
New Orders,1.68
New Orders,1.68
New Orders,1.68
Outworld Devourer,1.7
Outworld Devourer,1.7
Assassin's Apprentice,1.66
Assassin's Apprentice,1.66
Assassin's Apprentice,1.66
Assassin's Apprentice,1.66
Untested Grunt,1.75
Untested Grunt,1.75
Untested Grunt,1.75
Untested Grunt,1.75
Untested Grunt,1.75
Defend the Weak,1.74
Defend the Weak,1.74
Defend the Weak,1.74
Defend the Weak,1.74
Vhoul Martyr,1.86
Vhoul Martyr,1.86
Tower Barrage,1.81
Tower Barrage,1.81
Tower Barrage,1.81
Tower Barrage,1.81
Fight Through the Pain,1.68
Fight Through the Pain,1.68
Lightning Strike,1.7
Lightning Strike,1.7
Lightning Strike,1.7
Lightning Strike,1.7
Trebuchets,1.72
Trebuchets,1.72
Trebuchets,1.72
Trebuchets,1.72
Trebuchets,1.72
Trebuchets,1.72
Trebuchets,1.72
Trebuchets,1.72
Iron Fog Goldmine,1.75
Iron Fog Goldmine,1.75
Iron Fog Goldmine,1.75
Iron Fog Goldmine,1.75
Iron Fog Goldmine,1.75
Iron Fog Goldmine,1.75
Iron Fog Goldmine,1.75
Iron Fog Goldmine,1.75
Skywrath Mage,1.68
Skywrath Mage,1.68
Ogre Magi,1.68
Ogre Magi,1.68
